ID	Record Type	Order	Family	Subfamily	Insect Species	Symbiont Phylum	Symbiont Order	Symbiont Genus	Symbiont Rank	Symbiont Taxon	Symbiont Name	Classification	Localization	Function	Transmission mode	Symbiont Seq	Reference	doi	note
11	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia fulgens	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012567545.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
12	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia marginata	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012567685.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
13	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia piscatrix	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012569525.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
14	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia provostii	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012570145.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
15	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia proxima	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012569285.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
16	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia semicuprea	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012570535.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
17	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia simplex	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012568645.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
18	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia sparganii	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012569045.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
19	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia thalassina	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012568245.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
20	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia tomentosa	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012571135.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
21	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia versicolorea	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012570965.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
22	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Donacia vulgaris	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012568445.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
23	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Macroplea appendiculata	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012571605.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
24	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Macroplea mutica	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012571345.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
25	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Neohaemonia nigricornis	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012571795.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
26	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris braccata	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012563325.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
27	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris consimilis	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012563145.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
28	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris pusilla	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012562765.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
29	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris rustica	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012562965.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
30	Symbiont	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris sericea	Pseudomonadota	Enterobacterales	Candidatus Macropleicola	Genus	Candidatus Macropleicola	Candidatus Macropleicola muticae	Bacteria	Intracellular and Extracellular	Amino acid and B vitamin supplementation, plant biomass digestion	Vertical	GCA_012562605.1	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	10.1038/s41467-020-16687-7
31	Symbiont	Coleoptera	Chrysomelidae	Cassidinae	Multiple species	Pseudomonadota	Enterobacterales	Candidatus Stammera	Genus	Candidatus Stammera	Candidatus Stammera capleta	Bacteria	Extracellular	Plant biomass digestion	Vertical	GCA_002688505.1	Drastic genome reduction in an herbivore's pectinolytic symbiont	10.1016/j.cell.2017.10.029
32	Symbiont	Coleoptera	Chrysomelidae	Galerucinae	Psylliodes chrysocephala	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea	Bacteria	Extracellular	Detoxification of plant secondary compounds	Horizontal		Gut microbiota degrades toxic isothiocyanates in a flea beetle pest.	10.1111/mec.15657
33	Amplicon	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa decemlineata	None	None	None	None	None	Oral bacteria	Bacteria	Extracellular	Inhibition of plant defenses	Unknown	SRR3723123-SRR3723141	Host plant species determines symbiotic bacterial community mediating suppression of plant defenses	10.1038/srep39690
34	Amplicon	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus ferrugineus	None	None	None	None	None	Gut bacteria	Bacteria	Extracellular	Defense against pathogenic bacteria (via host immune stimulation)	Unknown	SRR9637668–SRR9637673	Intestinal Microbiota Confer Protection by Priming the Immune System of Red Palm Weevil Rhynchophorus ferrugineus Olivier (Coleoptera: Dryophthoridae)	10.3389/fphys.2019.01303
35	Symbiont	Coleoptera	Curculionidae	Scolytinae	Dendroctonus frontalis	Actinomycetota	Kitasatosporales	Streptomyces	Genus	Streptomyces	Streptomyces	Bacteria	Extracellular	Defense against antagonistic fungus of the beetle's cultivar	Unknown		Bacterial Protection of Beetle-Fungus Mutualism	10.1126/science.1160423
36	Amplicon	Coleoptera	Curculionidae	Lixinae	Conorhynchus palumbus	None	None	None	None	None	Gut bacteria	Bacteria	Extracellular	Nitrogen fixation	Unknown		What do we know about biological nitrogen fixation in insects? Evidence and implications for the insect and the ecosystem	10.1111/1744-7917.12697
37	Symbiont	Coleoptera	Curculionidae	Cryptorhynchinae	Euscepes postfasciatus	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Candidatus Nardonella	Bacteria	Intracellular	Tyrosine precursor provisioning	Vertical	GCA_004296535.1	Small genome symbiont underlies cuticle hardness in beetles	10.1073/pnas.1712857114	deposited in the DNA Data Bank Japan Read Archive, www.ddbj.nig.ac.jp
38	Symbiont	Coleoptera	Curculionidae	Entiminae	Pachyrhynchus infernalis	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Candidatus Nardonella	Bacteria	Intracellular	Tyrosine precursor provisioning	Vertical	GCA_004296515.1	Small genome symbiont underlies cuticle hardness in beetles	10.1073/pnas.1712857114	deposited in the DNA Data Bank Japan Read Archive, www.ddbj.nig.ac.jp
39	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus ferrugineus	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Candidatus Nardonella	Bacteria	Intracellular	Tyrosine precursor provisioning	Vertical	GCA_004296495.1	Small genome symbiont underlies cuticle hardness in beetles	10.1073/pnas.1712857114	deposited in the DNA Data Bank Japan Read Archive, www.ddbj.nig.ac.jp
40	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Sipalinus gigas	Pseudomonadota	None	Candidatus Nardonella	Genus	Candidatus Nardonella	Candidatus Nardonella	Bacteria	Intracellular	Tyrosine precursor provisioning	Vertical	GCA_004296475.1	Small genome symbiont underlies cuticle hardness in beetles	10.1073/pnas.1712857114	deposited in the DNA Data Bank Japan Read Archive, www.ddbj.nig.ac.jp
41	Symbiont	Coleoptera	Curculionidae	Dryophthorinae	Sitophilus spp.	Pseudomonadota	Enterobacterales	Sodalis	Genus	Sodalis	Candidatus Sodalis pierantonius	Bacteria	Intracellular	Tyrosine precursor provisioning, supplementation of some essential amino acids and vitamins	Vertical		Insects Recycle Endosymbionts when the Benefit Is Over	10.1016/j.cub.2014.07.065
42	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas fulva	Bacteria	Extracellular	Detoxification of plant secondary compounds	Unknown	KF913733.1、KF913844、KJ159083、KJ159093	Gut microbiota mediate caffeine detoxification in the primary insect pest of coffee	10.1111/mec.15657
43	Amplicon	Coleoptera	Curculionidae	Scolytinae	Multiple species	None	None	None	None	None	Gut bacteria	Bacteria	Extracellular	Detoxification of plant secondary compounds	Horizontal	JF810915.1、JF810926.1	Mountain pine beetles colonizing historical and naive host trees are associated with a bacterial community highly enriched in genes contributing to terpene metabolism.	10.1128/aem.00068-13
44	Amplicon	Coleoptera	Curculionidae	Molytinae	Hylobius abietis	None	None	None	None	None	Gut bacteria	Bacteria	Extracellular	Detoxification of plant secondary compounds	Horizontal		Gut microbiota of the pine weevil degrades conifer diterpenes and increases insect fitness	10.1111/mec.14186
45	Symbiont	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus vespilloides	Ascomycota	Dipodascales	Yarrowia	Genus	Yarrowia	Yarrowia yeasts	Bacteria	Extracellular	Defense against competing microbes	Erwinia	https://edmond.mpg.de/dataset.xhtml?persistentId=doi:10.17617/3.UV4FBN	The digestive and defensive basis of carcass utilization by the burying beetle and its microbiota	10.1038/ncomms15186
46	Symbiont	Coleoptera	Staphylinidae	Paederinae	Multiple species	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas spp.	Bacteria	Extracellular	Defense against predators	Mixed-mode		A polyketide synthase-peptide synthetase gene cluster from an uncultured bacterial symbiont of Paederus beetles	10.1073/pnas.222481399
47	Symbiont	Coleoptera	Tenebrionidae	Lagriinae	Multiple species	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia gladioli	Bacteria	Intracellular	Defense against pathogens	Mixed-mode	PRJNA306502	Antibiotic-producing symbionts dynamically transition between plant pathogenicity and insect-defensive mutualism	10.1038/ncomms15172
48	Symbiont	Hemiptera	Aleyrodidea	Aleyrodinae	Bemisia tabaci	Pseudomonadota	Rickettsiales	Rickettsia	Genus	Rickettsia	Candidatus Rickettsia_Torix_Bemisia_tabaci	Bacteria	Intracellular	Unknown	Unknown	MG063879 16S rRNA	A newly recorded Rickettsia of the Torix group is a recent intruder and an endosymbiont in the whitefly Bemisia tabaci	10.1111/1462-2920.14927
49	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Corcyra cephalonica	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia wCcep	Bacteria	Intracellular	induces reproductive incompatibility in the whitefly Bemisia tabaci	Vertical	KM576125-KM576129 MLST	A novel Wolbachia strain from the rice moth Corcyra cephalonica induces reproductive incompatibility in the whitefly Bemisia tabaci: sequence typing combined with phenotypic evidence	10.1111/1758-2229.12279
50	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	supply biotin and riboflavin to enhance reproduction	Vertical	MUIY00000000	Wolbachia supplement biotin and riboflavin to enhance reproduction in planthoppers	10.1038/s41396-019-0559-9
51	Symbiont	Hemiptera	Delphacidae	Criomorphinae	Laodelphax striatellus	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	supply biotin and riboflavin to enhance reproduction	Vertical	MUIX00000000	Wolbachia supplement biotin and riboflavin to enhance reproduction in planthoppers	10.1038/s41396-019-0559-9
52	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	enhances expression of NlCYP4CE1 in response to imidacloprid stress	Vertical		Wolbachia enhances expression of NlCYP4CE1 in Nilaparvata lugens in response to imidacloprid stress	10.1111/1744-7917.12834
53	Symbiont	Coleoptera	Tenebrionidae	Lagriidae	Lagria hirta	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provisioning of essential amino acids and/or vitamins	Mixed-mode	PRJNA306502	An antifungal polyketide associated with horizontally acquired genes supports symbiont-mediated defense in Lagria villosa beetles	10.1038/s41467-018-04955-6
54	Symbiont	Coleoptera	Tenebrionidae	Lagriidae	Lagria villosa	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provisioning of essential amino acids and/or vitamins	Mixed-mode	PRJNA306502	An antifungal polyketide associated with horizontally acquired genes supports symbiont-mediated defense in Lagria villosa beetles	10.1038/s41467-018-04955-6
55	Symbiont	Hemiptera	Coreidae	Coreidae	Riptortus pedestris	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provisioning of essential amino acids and/or vitamins	Mixed-mode	AB558208	An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
56	Symbiont	Hemiptera	Berytidae	None	Yemma exilis	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode	AB558174	An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
57	Symbiont	Hemiptera	Berytidae	Metacanthinae	Metatropis rufescens	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
58	Symbiont	Hemiptera	Malcidae	Malcidae	Chauliops fallax	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
59	Symbiont	Hemiptera	Malcidae	Malcidae	Malcus japonicus	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
60	Symbiont	Hemiptera	Lygaeidae	Lygaeidae	Tropidothorax belogolowi	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
61	Symbiont	Hemiptera	Lygaeidae	Lygaeidae	Aethalotus nigriventris	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
62	Symbiont	Hemiptera	Lygaeidae	Lygaeidae	Caenocoris dimidiatus	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
63	Symbiont	Hemiptera	Lygaeidae	None	Spilostethus hospes	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
64	Symbiont	Hemiptera	Lygaeidae	Lygaeidae	Graptostethus servus	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
65	Symbiont	Hemiptera	Lygaeidae	Lygaeidae	Oncopeltus nigriceps	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
66	Symbiont	Hemiptera	Lygaeidae	Lygaeidae	Thunbergia sanguinaria	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
67	Symbiont	Hemiptera	Lygaeidae	Lygaeidae	Nysius plebeius	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
68	Symbiont	Hemiptera	Lygaeidae	Lygaeidae	Pylorgus colon	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
69	Symbiont	Hemiptera	Lygaeidae	Geocoridae	Geocoris proteus	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
70	Symbiont	Hemiptera	Lygaeidae	Geocoridae	Piocoris varius	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	Extracellular	provide nutritional components such as vitamins and essential amino acids that are often deficient in the plant sap diet	Mixed-mode		An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	10.1038/ismej.2010.150
